Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Epoch 1 Step 1070/5652  space=2.7865  src=2.7807
Epoch 1 Step 1080/5652  space=2.7984  src=2.7889
Epoch 1 Step 1090/5652  space=2.7742  src=2.7831
Epoch 1 Step 1100/5652  space=2.7803  src=2.9125
Epoch 1 Step 1110/5652  space=2.7874  src=2.7905
Epoch 1 Step 1120/5652  space=2.7779  src=2.7756
Epoch 1 Step 1130/5652  space=2.8241  src=2.7956
Epoch 1 Step 1140/5652  space=2.8097  src=2.7757
Epoch 1 Step 1150/5652  space=2.7821  src=2.7743
Epoch 1 Step 1160/5652  space=2.7769  src=2.7799
Epoch 1 Step 1170/5652  space=2.7842  src=2.7731
Epoch 1 Step 1180/5652  space=2.5423  src=2.9138
Epoch 1 Step 1190/5652  space=2.8108  src=2.7810
Epoch 1 Step 1200/5652  space=2.9121  src=2.7904
Epoch 1 Step 1210/5652  space=2.7967  src=2.7797
Epoch 1 Step 1220/5652  space=2.7827  src=2.7742
Epoch 1 Step 1230/5652  space=3.0188  src=2.7903
Epoch 1 Step 1240/5652  space=2.7925  src=2.7718
Epoch 1 Step 1250/5652  space=2.7771  src=2.7737
Epoch 1 Step 1260/5652  space=2.7828  src=2.7744
